"Opportunity ID","Opportunity Owner","Account Name","Entered Pipeline Date","Close Date","Billing State/Province","Solutions Consultant","ICP","# of Contacts","Blended ARR*","Year 1 Platform Fee","Year 2 Platform Fee","Year 3 Platform Fee","ERP System","Age","Stage Duration","TCV","Stage Before Closed","Created Date","Homes per Year","Loss/DQ Reason","Stage","Confidence"
"006Rj00000NSsMnIAL","Anthony Dimaggio","Hopewell Residential",,"12/13/2025","Alberta","","Yes","1","0","","","","","1.0000000000","1.0000000000","0","","6/19/2025","","","Validation/Introduction","Pipeline"
"006Rj00000N9xObIAJ","Jack Alla","Executive Homes",,"11/17/2025","Oklahoma","","Yes","1","0","","","","","8.0000000000","8.0000000000","0","","6/12/2025","","","Validation/Introduction","Pipeline"
"006Rj00000N659WIAR","Carissa Anderson","Akel Homes",,"11/9/2025","Florida","","Yes","1","0","","","","","9.0000000000","9.0000000000","0","","6/11/2025","","","Validation/Introduction","Pipeline"
"006Rj00000MIYrOIAX","Jack Alla","Autograph Homes",,"11/30/2025","","","Unknown","1","0","","","","","29.0000000000","29.0000000000","0","","5/22/2025","","","Validation/Introduction","Pipeline"
"006Rj00000Lm149IAB","Carissa Anderson","Hines Homes",,"11/28/2025","Arkansas","","No","1","0","","","","","44.0000000000","44.0000000000","0","","5/7/2025","","","Validation/Introduction","Pipeline"
"006Rj00000LEfDmIAL","Sam Nichols","Thrive Companies","4/29/2025","10/31/2025","Ohio","","Yes","","150000","150000","150000","150000","","58.0000000000","52.0000000000","450000","","4/23/2025","","","Discover","Upside"
"006Rj00000KBurPIAT","Carissa Anderson","Red Door Homes Tn","4/11/2025","8/15/2025","Tennessee","","Yes","2","150000","150000","150000","150000","QuickBooks","88.0000000000","50.0000000000","450000","","3/24/2025","","","Developing Champions","Likely"
"006Rj00000KBtvPIAT","Carissa Anderson","Holland Homes LLC","4/3/2025","7/31/2025","Alabama","","Yes","3","225000","150000","200000","325000","","88.0000000000","78.0000000000","675000","","3/24/2025","","","Discover","Upside"
"006Rj00000KAMmvIAH","Sam Nichols","Schaefer Homes","4/3/2025","10/31/2025","Maryland","","Yes","6","116667","100000","125000","125000","MarkSystems","88.0000000000","9.0000000000","350000","","3/24/2025","","","Discover","Upside"
"006Rj00000JcZjNIAV","Carissa Anderson","Home Development Inc (HDI)",,"10/12/2025","Tennessee","","Yes","1","165000","120000","175000","200000","","105.0000000000","105.0000000000","495000","","3/7/2025","","","Validation/Introduction","Pipeline"
"006Rj00000IuPcWIAV","Carissa Anderson","Rockwood Homes","3/7/2025","8/16/2025","Tennessee","","Yes","2","178333","130000","175000","230000","BuilderTrend","127.0000000000","99.0000000000","535000","","2/13/2025","","","Developing Champions","Upside"
