Opportunity ID,Opportunity Owner,Account Name,Entered Pipeline Date,Close Date,Billing State/Province,Solutions Consultant,ICP,# of Contacts,Blended ARR*,Year 1 Platform Fee,Year 2 Platform Fee,Year 3 Platform Fee,ERP System,Age,Stage Duration,TCV,Stage Before Closed,Created Date,Homes per Year,Loss/DQ Reason,Target Account,Stage,Confidence
006Rj00000NlUVI,Sophia Jackson,Winchester Homebuilders,,12/24/2025,,,Yes,1,0,,,,,1,1,0,,6/27/2025,,,0,Validation/Introduction,Pipeline
006Rj00000NiNjy,Jack Alla,Cadence Homes TX,,11/21/2025,Texas,,Unknown,1,0,,,,,2,2,0,,6/26/2025,,,0,Validation/Introduction,Pipeline
006Rj00000N9xOb,Jack Alla,Executive Homes,,11/17/2025,Oklahoma,,Yes,1,0,,,,,16,16,0,,6/12/2025,,,1,Validation/Introduction,Pipeline
006Rj00000N659W,Carissa Anderson,Akel Homes,,11/9/2025,Florida,,Yes,1,145000,145000,,,,17,17,145000,,6/11/2025,,,1,Validation/Introduction,Pipeline
006Rj00000MIYrO,Jack Alla,Autograph Homes,,11/30/2025,,,Unknown,1,0,,,,,37,37,0,,5/22/2025,,,0,Validation/Introduction,Pipeline
006Rj00000Lm149,Carissa Anderson,Hines Homes,,11/28/2025,Arkansas,,No,1,175000,175000,,,,52,52,175000,,5/7/2025,,,0,Validation/Introduction,Pipeline
006Rj00000JcZjN,Carissa Anderson,Home Development Inc (HDI),,10/12/2025,Tennessee,,Yes,1,165000,120000,175000,200000,,113,113,495000,,3/7/2025,,,0,Validation/Introduction,Pipeline
006Rj00000NlUTe,Sophia Jackson,Visionary Homes,,12/17/2025,Utah,Anthony Zuefeldt,Yes,1,0,,,,Homebuilder One,1,1,0,,6/27/2025,700,,1,Validation/Introduction,Pipeline
006Rj00000NQKZK,Anthony Dimaggio,Trico Homes,,1/23/2026,Alberta,Anthony Zuefeldt,Yes,2,300000,300000,,,Home-grown System,10,10,300000,,6/18/2025,,,1,Validation/Introduction,Pipeline
006Rj00000NQKZG,Anthony Dimaggio,Remuda Ltd,,9/3/2025,,Anthony Zuefeldt,Unqualified,2,125000,125000,,,,10,10,125000,,6/18/2025,,,0,Validation/Introduction,Pipeline
