Opportunity ID,Name,Client Name,Stage,Year 1 Value,Entered Pipeline,Close Date,Snapshot Date,Campaign Type,First Campaign Date
006Rj00000LjkU1IAJ,3 Pillar,3 Pillar,Discover,275000,2025-05-07,2025-08-29,2025-07-02,Spring 20 Club,2025-04-24
006Rj000007ZcPlIAK,BC Stone Homes,BC Stone Homes,Closed Won,168000,2024-08-14,2025-03-19,2025-07-02,Webinar,2025-02-19
006Rj00000KqoJmIAJ,Brittenum Construction Company,Brittenum Construction Company,Developing Champions,200000,2025-04-11,2025-09-19,2025-07-02,Spring 20 Club,2025-04-02
006Rj00000LDgoXIAT,Brown Haven Homes,Brown Haven Homes,ROI Analysis/Pricing,400000,2025-04-24,2025-07-23,2025-07-02,Event,2025-05-05
006Rj00000JAQ7yIAH,Calbridge Homes,Calbridge Homes,Closed Won,285000,2025-02-21,2025-04-25,2025-07-02,Webinar,2025-02-07
006Rj00000JAQ7yIAH,Calbridge Homes,Calbridge Homes,Closed Won,285000,2025-02-21,2025-04-25,2025-07-02,Event,2025-02-27
006Rj00000KqWxNIAV,Choice Builders Group (Epcon),Choice Builders Group (Epcon),Closed Won,75000,2025-04-11,2025-05-06,2025-07-02,Event,2025-02-27
006Rj00000HeftvIAB,Classica Homes,Classica Homes,Closed Lost,157704,2025-01-17,2025-04-28,2025-07-02,Event,2025-02-24
006Rj000006xTQkIAM,Couto Homes,Couto Homes,Closed Lost,150000,2024-11-13,2025-05-01,2025-07-02,Event,2025-02-27
006Rj00000LZhVpIAL,"Cristo Homes, Inc.","Cristo Homes, Inc.",Closed Lost,100000,2025-05-02,2025-06-17,2025-07-02,Spring 20 Club,2025-04-30
006Rj00000LofiEIAR,EQ Homes,EQ Homes,Developing Champions,350000,2025-05-22,2025-07-31,2025-07-02,Event,2025-02-27
006Rj00000KPyyMIAT,Eagle Construction of VA,Eagle Construction of VA,Closed Lost,200000,2025-04-25,2025-04-28,2025-07-02,Event,2025-02-27
006Rj00000EF1YPIA1,Eastwood Homes,Eastwood Homes,Closed Won,1250000,2024-12-05,2025-04-28,2025-07-02,Event,2025-02-24
006Rj00000JpDrVIAV,Empire Communities Inc,Empire Communities Inc,Developing Champions,400000,2025-03-25,2025-10-29,2025-07-02,Webinar,2025-02-07
006Rj00000JpDrVIAV,Empire Communities Inc,Empire Communities Inc,Developing Champions,400000,2025-03-25,2025-10-29,2025-07-02,Spring 20 Club,2025-03-06
006Rj00000JpDrVIAV,Empire Communities Inc,Empire Communities Inc,Developing Champions,400000,2025-03-25,2025-10-29,2025-07-02,Event,2025-03-28
006Rj00000JpDrVIAV,Empire Communities Inc,Empire Communities Inc,Developing Champions,400000,2025-03-25,2025-10-29,2025-07-02,Advertising,2025-05-01
006Rj00000LjPHWIA3,First America Homes,First America Homes,Discover,250000,2025-05-29,2025-10-16,2025-07-02,Event,2025-04-28
006Rj00000LYtfVIAT,GL Homes,GL Homes,Discover,350000,2025-05-08,2025-12-23,2025-07-02,Direct Mail,2025-02-01
006Rj000009SwK2IAK,Great Gulf,Great Gulf,Closed Lost,325000,2025-01-17,2025-03-25,2025-07-02,Direct Mail,2025-02-01
006Rj000009SwK2IAK,Great Gulf,Great Gulf,Closed Lost,325000,2025-01-17,2025-03-25,2025-07-02,Webinar,2025-02-19
006Rj000007ZRqwIAG,GreenTech Homes,GreenTech Homes,Closed Lost,241500,2024-08-14,2025-06-26,2025-07-02,Event,2025-02-24
006Rj00000LGr7WIAT,Hamlet Homes,Hamlet Homes,Closed Lost,100000,2025-04-24,2025-05-28,2025-07-02,Event,2025-03-31
006Rj00000LGr7WIAT,Hamlet Homes,Hamlet Homes,Closed Lost,100000,2025-04-24,2025-05-28,2025-07-02,Spring 20 Club,2025-05-07
006Rj00000JWQUIIA5,Hayden Homes,Hayden Homes,Developing Champions,550000,2025-03-04,2025-11-26,2025-07-02,Event,2025-02-27
006Rj00000JWQUIIA5,Hayden Homes,Hayden Homes,Developing Champions,550000,2025-03-04,2025-11-26,2025-07-02,Spring 20 Club,2025-03-06
006Rj00000IXzqRIAT,Homes By Avi Inc,Homes By Avi Inc,ROI Analysis/Pricing,450000,2025-02-05,2025-07-31,2025-07-02,Event,2025-02-27
006Rj00000IXzqRIAT,Homes By Avi Inc,Homes By Avi Inc,ROI Analysis/Pricing,450000,2025-02-05,2025-07-31,2025-07-02,Roadshow,2025-06-17
006Rj00000IXzqRIAT,Homes By Avi Inc,Homes By Avi Inc,ROI Analysis/Pricing,450000,2025-02-05,2025-07-31,2025-07-02,Spring 20 Club,2025-05-01
006Rj00000IXzqRIAT,Homes By Avi Inc,Homes By Avi Inc,ROI Analysis/Pricing,450000,2025-02-05,2025-07-31,2025-07-02,Webinar,2025-02-07
006Rj000008gILiIAM,Integrity Homes,Integrity Homes,Closed Lost,100000,2024-05-01,2025-04-03,2025-07-02,Webinar,2025-02-19
006Rj00000Jd0oPIAR,Jagoe Homes,Jagoe Homes,Developing Champions,250000,2025-03-13,2025-08-31,2025-07-02,Spring 20 Club,2025-04-02
006Rj00000Jd0oPIAR,Jagoe Homes,Jagoe Homes,Developing Champions,250000,2025-03-13,2025-08-31,2025-07-02,Event,2025-02-27
006Rj00000Jd0oPIAR,Jagoe Homes,Jagoe Homes,Developing Champions,250000,2025-03-13,2025-08-31,2025-07-02,Webinar,2025-02-07
006Rj00000LGwAPIA1,LGI Homes,LGI Homes,Developing Champions,350000,2025-04-24,2025-08-31,2025-07-02,Event,2025-05-05
006Rj00000JWS9VIAX,Lombardo Homes,Lombardo Homes,Developing Champions,354250,2025-03-25,2025-10-22,2025-07-02,Event,2025-02-27
006Rj00000JWS9VIAX,Lombardo Homes,Lombardo Homes,Developing Champions,354250,2025-03-25,2025-10-22,2025-07-02,Direct Mail,2025-02-01
006Rj00000FXs94IAD,M/I Homes (corporate office),M/I Homes (corporate office),Developing Champions,400000,2024-12-05,2025-08-31,2025-07-02,Webinar,2025-02-07
006Rj00000FXs94IAD,M/I Homes (corporate office),M/I Homes (corporate office),Developing Champions,400000,2024-12-05,2025-08-31,2025-07-02,Event,2025-02-27
006Rj00000FXs94IAD,M/I Homes (corporate office),M/I Homes (corporate office),Developing Champions,400000,2024-12-05,2025-08-31,2025-07-02,Direct Mail,2025-02-01
006Rj00000LZbyIIAT,Main Street Homes,Main Street Homes,Validation/Introduction,400000,2025-05-09,2025-10-31,2025-07-02,Direct Mail,2025-02-01
006Rj00000LZbyIIAT,Main Street Homes,Main Street Homes,Validation/Introduction,400000,2025-05-09,2025-10-31,2025-07-02,Event,2025-04-08
006Rj00000LZbyIIAT,Main Street Homes,Main Street Homes,Validation/Introduction,400000,2025-05-09,2025-10-31,2025-07-02,Spring 20 Club,2025-04-10
006Rj00000JWRa2IAH,Meadowbrook Builders,Meadowbrook Builders,ROI Analysis/Pricing,102450,2025-03-04,2025-08-29,2025-07-02,Event,2025-02-27
006Rj00000Jd3HdIAJ,OLO Builders,OLO Builders,Closed Lost,210000,2025-03-17,2025-06-09,2025-07-02,Event,2025-02-27
0068c00000yliQhAAI,Pacific Lifestyle Homes,Pacific Lifestyle Homes,Closed Lost,275000,2024-08-14,2025-04-14,2025-07-02,Spring 20 Club,2025-04-10
0068c00000yliQhAAI,Pacific Lifestyle Homes,Pacific Lifestyle Homes,Closed Lost,275000,2024-08-14,2025-04-14,2025-07-02,Event,2025-02-27
0068c00000wSnZzAAK,Pahlisch Homes,Pahlisch Homes,Negotiation/Review,450000,2024-08-14,2025-07-18,2025-07-02,Event,2025-02-24
006Rj00000JchfJIAR,Park Square Homes,Park Square Homes,Closed Lost,300000,2025-03-07,2025-04-28,2025-07-02,Spring 20 Club,2025-04-10
006Rj00000Kpl4dIAB,Perrino Design Center,Perrino Design Center,Closed Lost,100000,2025-04-29,2025-06-27,2025-07-02,Spring 20 Club,2025-04-02
006Rj00000Kpl4dIAB,Perrino Design Center,Perrino Design Center,Closed Lost,100000,2025-04-29,2025-06-27,2025-07-02,Event,2025-03-31
0068c00000ym5ztAAA,Pulte Group,Pulte Group,Closed Lost,250000,2024-08-14,2025-03-25,2025-07-02,Webinar,2025-02-19
0068c00000ym5ztAAA,Pulte Group,Pulte Group,Closed Lost,250000,2024-08-14,2025-03-25,2025-07-02,Event,2025-02-27
0068c00000ym4VsAAI,Riverwood Homes - Arkansas,Riverwood Homes - Arkansas,Closed Won,130000,2024-11-15,2025-03-06,2025-07-02,Event,2025-02-27
006Rj00000JcsndIAB,Rockford Homes,Rockford Homes,Closed Lost,200000,2025-03-11,2025-06-09,2025-07-02,Event,2025-02-27
006Rj00000JcsndIAB,Rockford Homes,Rockford Homes,Closed Lost,200000,2025-03-11,2025-06-09,2025-07-02,Spring 20 Club,2025-03-06
006Rj00000KAMmvIAH,Schaefer Homes,Schaefer Homes,Discover,100000,2025-04-03,2025-10-31,2025-07-02,Webinar,2025-02-19
006Rj00000JcxQlIAJ,Schneider Custom Homes,Schneider Custom Homes,Closed Lost,100000,2025-03-07,2025-06-05,2025-07-02,Event,2025-02-27
006Rj00000JccfeIAB,Scott Felder Homes LLC,Scott Felder Homes LLC,Closed Lost,150000,2025-05-01,2025-05-29,2025-07-02,Event,2025-02-27
006Rj00000F1J4nIAF,Stateson Homes,Stateson Homes,Closed Lost,250000,2025-01-10,2025-06-09,2025-07-02,Webinar,2025-02-07
006Rj00000F1J4nIAF,Stateson Homes,Stateson Homes,Closed Lost,250000,2025-01-10,2025-06-09,2025-07-02,Spring 20 Club,2025-03-06
006Rj00000Jp7AzIAJ,The Kolter Group,The Kolter Group,Closed Lost,350000,2025-04-03,2025-05-08,2025-07-02,Event,2025-02-27
006Rj00000LGp2TIAT,Touchstone Living,Touchstone Living,Closed Lost,400000,2025-04-24,2025-05-08,2025-07-02,Event,2025-02-27
006Rj00000KAO5yIAH,Tri Pointe Homes,Tri Pointe Homes,Developing Champions,800000,2025-03-26,2026-01-14,2025-07-02,Event,2025-02-27
006Rj00000KCYtfIAH,True Homes,True Homes,Closed Lost,1000000,2025-04-03,2025-06-05,2025-07-02,Direct Mail,2025-02-01
006Rj00000LlShVIAV,Trumark Homes,Trumark Homes,Discover,450000,2025-05-08,2025-11-28,2025-07-02,Event,2025-05-05
006Rj00000LHJRzIAP,Vantage Homes,Vantage Homes,Closed Won,400000,2025-05-07,2025-06-27,2025-07-02,Spring 20 Club,2025-04-02
