id,opportunity_id,name,client_name,owner,created_date
3871,0068c00000ovdl3,5&5 Development,5&5 Development,Kevin Brandon,2022-04-21 00:00:00
3806,006Rj00000LHAy9,ABN Group,ABN Group,Jack Alla,2025-04-24 00:00:00
3831,006Rj00000IvjKc,Almond Branch Homes,Almond Branch Homes,Jack Alla,2025-02-14 00:00:00
3500,006Rj00000Lja1d,Alturas Homes,Alturas Homes,Jack Alla,2025-05-06 00:00:00
3822,006Rj00000Dhaol,Alturas Homes,Alturas Homes,Sam Nichols,2024-09-19 00:00:00
3824,006Rj00000K4Jrl,Aspen homes,Aspen homes,Anthony Dimaggio,2025-03-20 00:00:00
3870,006Rj00000LHISf,Away Digital,Away Digital,Jack Alla,2025-04-24 00:00:00
3810,006Rj00000JcAY7,Azali Homes,Azali Homes,Jack Alla,2025-03-07 00:00:00
3817,006Rj00000Ev1H4,Back 9 Development,Back 9 Development,Anthony Dimaggio,2024-10-24 00:00:00
3865,006Rj00000LHHZs,Bear Homes,Bear Homes,Anthony Dimaggio,2025-04-24 00:00:00
3848,006Rj000008ETlV,Belmonte Builders,Belmonte Builders,Sam Nichols,2024-04-18 00:00:00
3795,006Rj00000LHBW6,Berks Homes,Berks Homes,Sam Nichols,2025-04-24 00:00:00
3800,006Rj00000FKLyx,Blackstone Homes,Blackstone Homes,Jack Alla,2024-11-06 00:00:00
3877,006Rj00000LHFUt,Blue Heron,Blue Heron,Sophia Jackson,2025-04-24 00:00:00
3818,006Rj00000EMLKH,Brighton Homes Utah,Brighton Homes Utah,Sam Nichols,2024-10-08 00:00:00
3852,006Rj00000F4Tnd,Brittenum Construction Company,Brittenum Construction Company,Carissa Anderson,2024-10-29 00:00:00
3885,006Rj00000Mtcpa,Brohn Homes,Brohn Homes,Jack Alla,2025-06-06 00:00:00
3854,006Rj00000EF0in,Build On Your Land,Build On Your Land,Sophia Jackson,2024-10-04 00:00:00
3878,006Rj00000K3QQf,CBH Homes,CBH Homes,Sophia Jackson,2025-03-20 00:00:00
3805,006Rj00000LHMT3,Cambridge Homes,Cambridge Homes,Jack Alla,2025-04-24 00:00:00
3830,006Rj00000JAK4U,Capstone Homes - Minnesota,Capstone Homes - Minnesota,Anthony Dimaggio,2025-02-21 00:00:00
3846,006Rj00000DFnNX,Caruso Homes,Caruso Homes,Sam Nichols,2024-09-06 00:00:00
3808,006Rj00000K68Du,Center Park Group,Center Park Group,Sophia Jackson,2025-03-21 00:00:00
3858,006Rj00000LHWQn,Central Builders,Central Builders,Anthony Dimaggio,2025-04-24 00:00:00
3816,006Rj00000Ev88r,Central Builders,Central Builders,Anthony Dimaggio,2024-10-24 00:00:00
3823,0068c00000yliPU,Challenger Homes,Challenger Homes,Carissa Anderson,2023-11-23 00:00:00
3866,006Rj00000K3hmU,Cornerstone Development,Cornerstone Development,Anthony Dimaggio,2025-03-20 00:00:00
3836,006Rj00000ErYt7,"Cristo Homes, Inc.","Cristo Homes, Inc.",Sam Nichols,2024-10-23 00:00:00
3874,006Rj00000LHEgn,DRB design,DRB design,Sophia Jackson,2025-04-24 00:00:00
3812,006Rj00000FINGr,Diamond Homes,Diamond Homes,Jack Alla,2024-11-05 00:00:00
3853,006Rj00000EdmMT,Dream Finders Homes,Dream Finders Homes,Carissa Anderson,2024-10-16 00:00:00
3807,006Rj00000Loi3Q,Eagle Construction of VA,Eagle Construction of VA,Sam Nichols,2025-05-08 00:00:00
3864,006Rj00000LHMsu,Eastbrook Homes,Eastbrook Homes,Anthony Dimaggio,2025-04-24 00:00:00
3811,006Rj00000HF4EP,Evergreen,Evergreen,Carissa Anderson,2025-01-06 00:00:00
3883,006Rj000007K17C,FD Builds- March 2024,,Carissa Anderson,2024-03-22 00:00:00
3839,006Rj00000EilJL,First America Homes,First America Homes,Jack Alla,2024-10-18 00:00:00
3845,006Rj00000DqNqg,First Texas Homes,First Texas Homes,Jack Alla,2024-09-24 00:00:00
3798,006Rj00000Inqch,Fischer Homes,Fischer Homes,Sam Nichols,2025-02-11 00:00:00
3815,006Rj00000JctJu,Flagship Homes (UT),Flagship Homes (UT),Sam Nichols,2025-03-07 00:00:00
3847,006Rj00000CWSiD,Foxlane Homes,Foxlane Homes,Sam Nichols,2024-08-15 00:00:00
3880,006Rj00000ASV7x,French Brothers,French Brothers,Sophia Jackson,2024-06-20 00:00:00
3879,006Rj00000GkI8o,Front Light Building Company,Front Light Building Company,Sophia Jackson,2024-12-20 00:00:00
3882,0068c00000ylorz,Fulton Homes- 2024,,Jared Rogers,2023-12-01 00:00:00
3840,006Rj00000Ei3IK,Garman Builders,Garman Builders,Sam Nichols,2024-10-18 00:00:00
3855,006Rj00000BqbZp,Goodall Homes,Goodall Homes,Carissa Anderson,2024-07-26 00:00:00
3796,006Rj00000JcOzg,"Green Brick Partners, Inc.","Green Brick Partners, Inc.",Jack Alla,2025-03-07 00:00:00
3832,006Rj00000IQjgf,Greenwood Homes,Greenwood Homes,Sam Nichols,2025-02-03 00:00:00
3838,006Rj00000Eio5t,Grenadier Homes,Grenadier Homes,Jack Alla,2024-10-18 00:00:00
4577,006Rj00000NiNjr,Grenadier Homes,Grenadier Homes,Jack Alla,2025-06-26 00:00:00
3869,006Rj00000LHF1m,HHHunt Homes,HHHunt Homes,Sam Nichols,2025-04-24 00:00:00
3872,006Rj00000LHKW6,Heatherland Homes,Heatherland Homes,Sophia Jackson,2025-04-24 00:00:00
3833,006Rj00000HEzzZ,Hedgefield Homes,Hedgefield Homes,Jack Alla,2025-01-06 00:00:00
3857,006Rj00000LExXB,Helio developments,Helio developments,Anthony Dimaggio,2025-04-23 00:00:00
3819,006Rj00000Dl0Je,Homes By Avi Inc,Homes By Avi Inc,Anthony Dimaggio,2024-09-20 00:00:00
3873,006Rj00000LHG7Y,Humabuilt Development,Humabuilt Development,Sophia Jackson,2025-04-24 00:00:00
3827,006Rj00000K4E8T,Hunter Pasteur Homes,Hunter Pasteur Homes,Anthony Dimaggio,2025-03-20 00:00:00
3849,006Rj00000K5yeM,Hurricane Builders Inc,Hurricane Builders Inc,Sophia Jackson,2025-03-21 00:00:00
3841,006Rj00000E7m9X,JP Brooks Builders,JP Brooks Builders,Anthony Dimaggio,2024-10-01 00:00:00
3863,006Rj00000LHS5R,JTB Homes,JTB Homes,Anthony Dimaggio,2025-04-24 00:00:00
3868,006Rj00000LHSBt,K. Hovnanian Homes,K. Hovnanian Homes,Sam Nichols,2025-04-24 00:00:00
3829,006Rj00000JciBZ,Kindred Homes,Kindred Homes,Jack Alla,2025-03-07 00:00:00
4574,006Rj00000NiNjv,Kindred Homes,Kindred Homes,Jack Alla,2025-06-26 00:00:00
3820,006Rj00000Dky4w,Korndoerfer Homes,Korndoerfer Homes,Anthony Dimaggio,2024-09-20 00:00:00
3834,006Rj00000GG8zh,LGI Homes,LGI Homes,Jack Alla,2024-12-05 00:00:00
3842,006Rj00000DqUTx,Landsea Homes,Landsea Homes,Jack Alla,2024-09-24 00:00:00
3835,006Rj00000FnqGA,LifeStyle Home Builders,LifeStyle Home Builders,Sam Nichols,2024-11-20 00:00:00
3825,006Rj00000KZWUa,Mazzarino Construction & Development,Mazzarino Construction & Development,Jack Alla,2025-04-03 00:00:00
3875,006Rj00000LHTzB,Meritage Homes,Meritage Homes,Sophia Jackson,2025-04-24 00:00:00
3850,006Rj00000IuUtv,Metal House Plans,Metal House Plans,Carissa Anderson,2025-02-13 00:00:00
3867,006Rj00000C5hi9,My Southern Homes of Polk County,My Southern Homes of Polk County,Carissa Anderson,2024-08-02 00:00:00
3510,006Rj00000JcPP3,"NVR, Inc.","NVR, Inc.",Sam Nichols,2025-03-07 00:00:00
3859,006Rj00000LHUVR,New Peak Homes,New Peak Homes,Carissa Anderson,2025-04-24 00:00:00
3851,006Rj00000F6Gfp,Newcastle Homes,Newcastle Homes,Carissa Anderson,2024-10-30 00:00:00
3876,006Rj00000LHJqh,Northern Nevada Homes,Northern Nevada Homes,Sophia Jackson,2025-04-24 00:00:00
3856,006Rj00000LH5Yf,Olaf & Company,Olaf & Company,Anthony Dimaggio,2025-04-24 00:00:00
3794,006Rj00000LU9BT,Old Town Design Group,Old Town Design Group,Anthony Dimaggio,2025-04-29 00:00:00
3837,006Rj00000ErPWU,Olivia Clarke Homes,Olivia Clarke Homes,Jack Alla,2024-10-23 00:00:00
3826,006Rj00000KDIBk,Onyx and East,Onyx and East,Anthony Dimaggio,2025-03-25 00:00:00
3881,006Rj000005FkKc,Ovation Homes- 2024,,Jared Rogers,2024-01-26 00:00:00
4579,006Rj00000NiNjp,Pacesetter Homes (Qualico),Pacesetter Homes (Qualico),Anthony Dimaggio,2025-06-26 00:00:00
4573,006Rj00000NiNjw,Pacesetter Homes (Qualico),Pacesetter Homes (Qualico),Anthony Dimaggio,2025-06-26 00:00:00
3814,006Rj00000K3LNl,Partners Development Group,Partners Development Group,Anthony Dimaggio,2025-03-20 00:00:00
3797,006Rj00000IvdAN,Perry Homes,Perry Homes,Jack Alla,2025-02-14 00:00:00
3801,006Rj00000KhW2j,Remuda Ltd,Remuda Ltd,Anthony Dimaggio,2025-04-07 00:00:00
3809,006Rj00000K3Wsf,Revolution Homes,Revolution Homes,Sophia Jackson,2025-03-20 00:00:00
4583,006Rj00000NiNjk,Riverside Homebuilders,Riverside Homebuilders,Jack Alla,2025-06-26 00:00:00
3802,006Rj00000JaHCH,Robert Thomas Builders,Robert Thomas Builders,Anthony Dimaggio,2025-03-06 00:00:00
3813,006Rj00000EPyH3,Samara,Samara,Carissa Anderson,2024-10-09 00:00:00
3793,006Rj00000Lg5Tq,San Rufo Homes,San Rufo Homes,Anthony Dimaggio,2025-05-05 00:00:00
3513,006Rj00000K662P,Saussy Burbank Inc,Saussy Burbank Inc,Sophia Jackson,2025-03-21 00:00:00
3862,006Rj00000LH8Ri,Shea Homes,Shea Homes,Carissa Anderson,2025-04-24 00:00:00
3844,006Rj00000DqR1S,Stylecraft Builders,Stylecraft Builders,Jack Alla,2024-09-24 00:00:00
3804,006Rj00000LoqTx,Taylor Morrison,Taylor Morrison,Anthony Dimaggio,2025-05-08 00:00:00
3843,006Rj00000DqU0v,Texas Homes,Texas Homes,Jack Alla,2024-09-24 00:00:00
3861,006Rj00000LHAWm,Thomas James Homes,Thomas James Homes,Carissa Anderson,2025-04-24 00:00:00
3860,006Rj00000LHI7i,Van Daele Homes,Van Daele Homes,Carissa Anderson,2025-04-24 00:00:00
3799,006Rj00000GG3K5,Verity Homes,Verity Homes,Anthony Dimaggio,2024-12-05 00:00:00
3821,006Rj00000DkAg2,View Homes,View Homes,Carissa Anderson,2024-09-20 00:00:00
5307,006Rj00000NlUTe,Visionary Homes,Visionary Homes,Sophia Jackson,2025-06-27 00:00:00
3828,006Rj00000Jd3j4,Wayne Homes,Wayne Homes,Sam Nichols,2025-03-07 00:00:00
5300,006Rj00000NlUVI,Winchester Homebuilders,Winchester Homebuilders,Sophia Jackson,2025-06-27 00:00:00
3803,006Rj00000LnnbN,Zion Development Group,Zion Development Group,Jack Alla,2025-05-08 00:00:00
